,GEO.id2,GEO.display-label,95,20,9520,pop_estimate
120,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",482000.0,32385.0,14.176470588235293,944177.0
617,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",302000.0,24732.0,11.984126984126984,20153634.0
766,41860,"San Francisco-Oakland-Hayward, CA Metro Area",394600.0,32235.0,10.96111111111111,4679166.0
507,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",269000.0,24426.0,10.76,13310447.0
611,35380,"New Orleans-Metairie, LA Metro Area",194587.0,18379.0,10.587463953425106,1268883.0
768,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",426900.0,39133.0,10.41219512195122,1978816.0
559,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",209733.0,20387.0,10.287585225879237,6066387.0
546,32580,"McAllen-Edinburg-Mission, TX Metro Area",143137.0,13966.0,10.248961764284692,849843.0
253,20500,"Durham-Chapel Hill, NC Metro Area",228650.0,22462.0,10.179414121627637,559535.0
109,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",298500.0,29225.0,9.851485148514852,4794447.0
414,27140,"Jackson, MS Metro Area",179805.0,18354.0,9.796502124877412,580178.0
395,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",243272.0,25337.0,9.601452421360067,6772470.0
675,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",238342.0,24874.0,9.581973144649032,6070500.0
321,23420,"Fresno, CA Metro Area",175682.0,18645.0,9.422472512737999,979915.0
820,44140,"Springfield, MA Metro Area",188399.0,20056.0,9.393647786198644,630283.0
552,32820,"Memphis, TN-MS-AR Metro Area",182743.0,19457.0,9.392146785218687,1346437.0
168,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",236008.0,25226.0,9.355744073574883,9512968.0
706,39300,"Providence-Warwick, RI-MA Metro Area",203618.0,21822.0,9.33085876638255,1614750.0
72,12940,"Baton Rouge, LA Metro Area",189667.0,20376.0,9.308352964271693,835175.0
179,17460,"Cleveland-Elyria, OH Metro Area",187912.0,20224.0,9.291534810126583,2055612.0
237,19820,"Detroit-Warren-Dearborn, MI Metro Area",198271.0,21402.0,9.264134193066068,4297617.0
610,35300,"New Haven-Milford, CT Metro Area",222312.0,24298.0,9.14939501193514,856875.0
94,13820,"Birmingham-Hoover, AL Metro Area",183076.0,20040.0,9.13552894211577,1147417.0
859,45780,"Toledo, OH Metro Area",166568.0,18257.0,9.123514268499754,605221.0
493,30460,"Lexington-Fayette, KY Metro Area",192319.0,21133.0,9.100411678417641,506751.0
16,10740,"Albuquerque, NM Metro Area",178817.0,19860.0,9.00387713997986,913924.0
171,17140,"Cincinnati, OH-KY-IN Metro Area",203361.0,22823.0,8.910353590676072,2161441.0
56,12260,"Augusta-Richmond County, GA-SC Metro Area",165035.0,18651.0,8.848587207120262,595147.0
565,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",197834.0,22385.0,8.837793165065893,1572482.0
682,38300,"Pittsburgh, PA Metro Area",192752.0,21896.0,8.80306905370844,2342299.0
372,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",246052.0,28063.0,8.76784378006628,1206836.0
847,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",183924.0,20989.0,8.762875792081566,3032171.0
164,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",209482.0,23934.0,8.752486003175399,2474314.0
459,28940,"Knoxville, TN Metro Area",173008.0,19776.0,8.748381877022654,869076.0
762,41740,"San Diego-Carlsbad, CA Metro Area",239069.0,27413.0,8.721008280742714,3317749.0
50,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",220097.0,25333.0,8.688153791497257,5790210.0
163,16700,"Charleston-North Charleston, SC Metro Area",200446.0,23152.0,8.657826537664132,761155.0
294,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",193993.0,22430.0,8.64881854658939,527153.0
866,46060,"Tucson, AZ Metro Area",170529.0,19718.0,8.648392331879501,1016206.0
61,12540,"Bakersfield, CA Metro Area",177799.0,20642.0,8.613457998255983,884788.0
745,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",214569.0,24941.0,8.603063229220961,2296418.0
357,24860,"Greenville-Anderson-Mauldin, SC Metro Area",171322.0,19952.0,8.586708099438653,884975.0
272,21340,"El Paso, TX Metro Area",150001.0,17489.0,8.576876894047688,842114.0
218,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",227118.0,26559.0,8.55145148537219,7232599.0
8,10420,"Akron, OH Metro Area",181793.0,21282.0,8.542101306268208,702221.0
936,49340,"Worcester, MA-CT Metro Area",218966.0,25697.0,8.521072498735261,935781.0
166,16860,"Chattanooga, TN-GA Metro Area",170085.0,20033.0,8.4902411021814,551200.0
622,35840,"North Port-Sarasota-Bradenton, FL Metro Area",198101.0,23377.0,8.47418402703512,788457.0
352,24660,"Greensboro-High Point, NC Metro Area",167036.0,19724.0,8.468667613060232,756139.0
932,49180,"Winston-Salem, NC Metro Area",166489.0,19668.0,8.464968476713443,662079.0
833,44700,"Stockton-Lodi, CA Metro Area",190023.0,22462.0,8.459754251624966,733709.0
225,19380,"Dayton, OH Metro Area",171990.0,20331.0,8.45949535192563,800683.0
129,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",174357.0,20658.0,8.440168457740343,1132804.0
781,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",161718.0,19185.0,8.429397967161846,555225.0
751,41180,"St. Louis, MO-IL Metro Area",201746.0,23994.0,8.408185379678253,2807954.0
761,41700,"San Antonio-New Braunfels, TX Metro Area",192381.0,23033.0,8.352407415447402,2429609.0
868,46140,"Tulsa, OK Metro Area",180453.0,21663.0,8.330009693948206,987958.0
508,31140,"Louisville/Jefferson County, KY-IN Metro Area",183562.0,22110.0,8.30221619176843,1283297.0
145,15980,"Cape Coral-Fort Myers, FL Metro Area",187575.0,22662.0,8.27707175006619,722336.0
676,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",199274.0,24139.0,8.255271552259828,4661537.0
418,27260,"Jacksonville, FL Metro Area",193119.0,23407.0,8.250480625453925,1478212.0
62,12580,"Baltimore-Columbia-Towson, MD Metro Area",245120.0,29728.0,8.245425188374597,2798886.0
643,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",182684.0,22175.0,8.238286358511838,2441257.0
196,18140,"Columbus, OH Metro Area",199809.0,24274.0,8.231399851693169,2041520.0
59,12420,"Austin-Round Rock, TX Metro Area",235587.0,28683.0,8.213471394205627,2056405.0
407,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",191029.0,23358.0,8.178311499272198,2001737.0
603,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",204425.0,25072.0,8.153517868538609,1865535.0
843,45060,"Syracuse, NY Metro Area",181024.0,22208.0,8.151296829971182,656510.0
573,33700,"Modesto, CA Metro Area",177447.0,21862.0,8.116686487969993,541560.0
655,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",263200.0,34234.0,8.098461538461539,849738.0
635,36420,"Oklahoma City, OK Metro Area",186429.0,23058.0,8.085219880301848,1373211.0
732,40380,"Rochester, NY Metro Area",181479.0,22465.0,8.078299577119964,1078879.0
726,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",188411.0,23592.0,7.986224143777552,4527837.0
723,40060,"Richmond, VA Metro Area",210851.0,26490.0,7.959645149112872,1282066.0
783,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",249832.0,31447.0,7.944541609692498,3798902.0
698,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",213687.0,26911.0,7.940507599123035,2425325.0
498,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",170912.0,21543.0,7.933528292252704,734381.0
661,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",173907.0,21931.0,7.929734166248689,579130.0
775,42220,"Santa Rosa, CA Metro Area",232768.0,29405.0,7.915932664512838,503070.0
905,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",316230.0,41054.0,7.90575,6133552.0
191,17900,"Columbia, SC Metro Area",171737.0,21749.0,7.89631707204929,816450.0
818,44060,"Spokane-Spokane Valley, WA Metro Area",166713.0,21138.0,7.886886176554073,556264.0
234,19740,"Denver-Aurora-Lakewood, CO Metro Area",236836.0,30180.0,7.8474486414844264,2853077.0
441,28140,"Kansas City, MO-KS Metro Area",199509.0,25624.0,7.786020917889479,2104115.0
697,38860,"Portland-South Portland, ME Metro Area",202202.0,26200.0,7.71763358778626,529657.0
104,14260,"Boise City, ID Metro Area",177996.0,23113.0,7.701120581490936,690214.0
713,39580,"Raleigh, NC Metro Area",225416.0,29462.0,7.651075962256466,1302946.0
941,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",143195.0,18802.0,7.6159451122221045,544746.0
921,48620,"Wichita, KS Metro Area",170567.0,22410.0,7.611200356983489,645447.0
