GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
310M300US10140,10140,"Aberdeen, WA Micro Area",71628,
310M300US10180,10180,"Abilene, TX Metro Area",170860,2842
310M300US10300,10300,"Adrian, MI Micro Area",98504,
310M300US10420,10420,"Akron, OH Metro Area",702221,
310M300US10460,10460,"Alamogordo, NM Micro Area",65410,
310M300US10500,10500,"Albany, GA Metro Area",152506,2130
310M300US10540,10540,"Albany, OR Metro Area",122849,
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881839,
310M300US10700,10700,"Albertville, AL Micro Area",95157,
310M300US10740,10740,"Albuquerque, NM Metro Area",913924,3421
310M300US10780,10780,"Alexandria, LA Metro Area",154789,
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",835652,
310M300US11020,11020,"Altoona, PA Metro Area",124650,
310M300US11100,11100,"Amarillo, TX Metro Area",263491,1713
310M300US11180,11180,"Ames, IA Metro Area",97090,
310M300US11260,11260,"Anchorage, AK Metro Area",402557,
310M300US11460,11460,"Ann Arbor, MI Metro Area",364709,
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",114611,
310M300US11540,11540,"Appleton, WI Metro Area",234079,
310M300US11700,11700,"Asheville, NC Metro Area",452319,
310M300US11780,11780,"Ashtabula, OH Micro Area",98231,
310M300US11900,11900,"Athens, OH Micro Area",66186,
310M300US11980,11980,"Athens, TX Micro Area",79901,
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",206360,2059
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5790210,2964
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",270991,
310M300US12180,12180,"Auburn, NY Micro Area",77861,
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",158991,
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",595147,1610
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",120569,
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",2056405,
310M300US12540,12540,"Bakersfield, CA Metro Area",884788,
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2798886,
310M300US12620,12620,"Bangor, ME Metro Area",151806,
310M300US12700,12700,"Barnstable Town, MA Metro Area",214276,
310M300US12940,12940,"Baton Rouge, LA Metro Area",835175,
310M300US12980,12980,"Battle Creek, MI Metro Area",134386,
310M300US13020,13020,"Bay City, MI Metro Area",104747,
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",409901,1843
310M300US13180,13180,"Beaver Dam, WI Micro Area",88068,
310M300US13220,13220,"Beckley, WV Metro Area",120924,
310M300US13380,13380,"Bellingham, WA Metro Area",216800,
310M300US13460,13460,"Bend-Redmond, OR Metro Area",181307,
310M300US13740,13740,"Billings, MT Metro Area",169736,1081
310M300US13780,13780,"Binghamton, NY Metro Area",244094,
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1147417,
310M300US13900,13900,"Bismarck, ND Metro Area",131547,927
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",183411,3298
310M300US14010,14010,"Bloomington, IL Metro Area",187326,1551
310M300US14020,14020,"Bloomington, IN Metro Area",166336,
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",84763,
