GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
310M300US10180,10180,"Abilene, TX Metro Area",19774,3925,37283,2127,59200,4738,86561,3685,151247,13119
310M300US10420,10420,"Akron, OH Metro Area",21522,850,40720,990,64163,2233,100689,2660,185176,8435
310M300US10500,10500,"Albany, GA Metro Area",17739,1559,30459,2689,51865,3592,84651,8032,151277,3905
310M300US10540,10540,"Albany, OR Metro Area",24629,1951,41828,3118,65660,4859,95172,4693,162018,30541
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",26984,1137,51320,1454,80830,1829,124407,2868,217349,8602
310M300US10740,10740,"Albuquerque, NM Metro Area",20620,902,40512,1176,63468,1898,100741,2517,188571,6040
310M300US10780,10780,"Alexandria, LA Metro Area",16959,1455,31576,2600,56898,6051,89964,7445,172131,23504
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",27703,1353,50591,1115,77406,2041,120148,2520,207136,8555
310M300US11020,11020,"Altoona, PA Metro Area",20690,1207,35502,1697,54468,4123,85358,4613,140711,8456
310M300US11100,11100,"Amarillo, TX Metro Area",24973,3080,42210,2800,68014,3689,104632,3601,193234,24286
310M300US11180,11180,"Ames, IA Metro Area",17837,3856,41242,6479,70270,9326,112312,9079,194163,31418
310M300US11260,11260,"Anchorage, AK Metro Area",39405,3118,66708,2326,100554,3398,148658,5509,,
310M300US11460,11460,"Ann Arbor, MI Metro Area",26236,2035,50779,1480,85791,2631,138859,6446,,
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",18297,1999,34092,2774,53902,3919,84383,5677,143350,17961
310M300US11540,11540,"Appleton, WI Metro Area",30389,1444,51334,1528,77693,2070,111685,3338,170737,12810
310M300US11700,11700,"Asheville, NC Metro Area",22011,1166,40376,1266,60895,1224,93661,3870,176322,13063
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",16238,1675,32242,2594,55918,2650,97495,6000,187705,22717
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",26684,488,50307,556,77233,864,122065,1106,234699,5218
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",22188,1623,43532,2762,73477,3966,117106,4761,198719,11882
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",17145,2080,38290,4278,58294,5235,98291,11629,166395,17195
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",20003,1387,38910,2054,62109,2569,97638,4210,161541,8512
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",31674,791,57183,1262,89026,2031,136115,2528,,
310M300US12540,12540,"Bakersfield, CA Metro Area",20910,1003,38758,1861,61919,1892,100439,2429,177738,5959
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",31209,719,60169,970,95293,1291,146900,2053,,
310M300US12620,12620,"Bangor, ME Metro Area",19414,1512,36604,2476,60018,4441,92298,5721,156933,19686
310M300US12700,12700,"Barnstable Town, MA Metro Area",29813,2870,52749,3414,81977,3095,127189,5844,247724,27814
310M300US12940,12940,"Baton Rouge, LA Metro Area",21193,1165,41407,1986,68294,2638,113137,3089,201783,11118
