"state","puma12","cbsa10","stab","cbsaname10","PUMAname","pop10","afact"
"FIPS state","puma12","cbsa10","State Postal Code","2010 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa10 alloc factor"
"06","00101","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (North)--Berkeley & Albany Cities",131119,1 
"06","00102","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",158091,1 
"06","00103","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",125229,1 
"06","00104","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (North Central)--Oakland City (South Central)",124608,1 
"06","00105","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",163534,1 
"06","00106","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",134752,1 
"06","00107","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (Central)--Hayward City",145655,1 
"06","00108","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",135402,1 
"06","00109","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (South Central)--Fremont City (East)",189764,1 
"06","00110","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Alameda County (East)--Livermore, Pleasanton & Dublin Cities",202117,1 
"06","00300","13860","CA","Bishop, CA Micropolitan Statistical Area","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",18546,0.097 
"06","00300","38020","CA","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",55365,0.29 
"06","00300","99999","CA","99999","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",117297,0.613 
"06","00701","17020","CA","Chico, CA Metropolitan Statistical Area","Butte County (Northwest)--Chico City",111389,1 
"06","00702","17020","CA","Chico, CA Metropolitan Statistical Area","Butte County (Southeast)--Oroville City & Paradise Town",108611,1 
"06","01100","39780","CA","Red Bluff, CA Micropolitan Statistical Area","Colusa, Glenn, Tehama & Trinity Counties",63463,0.501 
"06","01100","99999","CA","99999","Colusa, Glenn, Tehama & Trinity Counties",63327,0.499 
"06","01301","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",114777,1 
"06","01302","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",118671,1 
"06","01303","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",129625,1 
"06","01304","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",117784,1 
"06","01305","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (South)--San Ramon City & Danville Town",124585,1 
"06","01306","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",112211,1 
"06","01307","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities",120474,1 
"06","01308","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (Northeast)--Antioch City",107213,1 
"06","01309","41860","CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Contra Costa County (East)--Brentwood & Oakley Cities",103685,1 
"06","01500","18860","CA","Crescent City, CA Micropolitan Statistical Area","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",28610,0.207 
"06","01500","45000","CA","Susanville, CA Micropolitan Statistical Area","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",34895,0.253 
"06","01500","99999","CA","99999","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",74593,0.54 
"06","01700","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","El Dorado County--El Dorado Hills",181058,1 
"06","01901","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (West)--Selma, Kerman & Coalinga Cities",144724,1 
"06","01902","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (North Central)--Fresno City (North)",173649,1 
"06","01903","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (Central)--Fresno City (East Central)",101880,1 
"06","01904","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (Central)--Fresno City (Southwest)",170140,1 
"06","01905","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (Central)--Fresno City (Southeast)",108177,1 
"06","01906","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (Central)--Clovis City",102642,1 
"06","01907","23420","CA","Fresno, CA Metropolitan Statistical Area","Fresno County (East)--Sanger, Reedley & Parlier Cities",129238,1 
"06","02300","21700","CA","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area","Humboldt County",134623,1 
"06","02500","20940","CA","El Centro, CA Metropolitan Statistical Area","Imperial County--El Centro City",174528,1 
"06","02901","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","Kern County (West)--Delano, Wasco & Shafter Cities",189962,1 
"06","02902","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","Kern County (Central)--Bakersfield City (West)",200370,1 
"06","02903","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","Kern County (Central)--Bakersfield City (Northeast)",155144,1 
"06","02904","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","Kern County (Central)--Bakersfield City (Southeast)",107850,1 
"06","02905","12540","CA","Bakersfield-Delano, CA Metropolitan Statistical Area","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",186305,1 
"06","03100","25260","CA","Hanford-Corcoran, CA Metropolitan Statistical Area","Kings County--Hanford City",152982,1 
"06","03300","17340","CA","Clearlake, CA Micropolitan Statistical Area","Lake & Mendocino Counties",64665,0.424 
"06","03300","46380","CA","Ukiah, CA Micropolitan Statistical Area","Lake & Mendocino Counties",87841,0.576 
"06","03701","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North/Unincorporated)--Castaic",139801,1 
"06","03702","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (Northwest)--Santa Clarita City",188102,1 
"06","03703","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North Central)--Lancaster City",163632,1 
"06","03704","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North Central)--Palmdale City",164268,1 
"06","03705","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",166932,1 
"06","03706","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",136414,1 
"06","03707","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",150967,1 
"06","03708","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",136833,1 
"06","03709","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (Central)--San Gabriel Valley Region (North)",110202,1 
"06","03710","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",174037,1 
"06","03711","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",163941,1 
"06","03712","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--Pomona City",146895,1 
"06","03713","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--Covina & Walnut Cities",109666,1 
"06","03714","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights",109128,1 
"06","03715","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--West Covina City",120111,1 
"06","03716","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--La Puente & Industry Cities",110351,1 
"06","03717","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",189098,1 
"06","03718","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (Central)--Pasadena City",135128,1 
"06","03719","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (Central)--Glendale City",190790,1 
"06","03720","31100","CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles County (Central)--Burbank City",118143,1 
