"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop14","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","puma12 to cbsa alloc factor"
"01","00100"," ","AL"," ","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",39326.125,0.21 
"01","00100","22520","AL","Florence-Muscle Shoals, AL (Metro)","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",147639,0.79 
"01","00200","26620","AL","Huntsville, AL (Metro)","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",183944.849,1 
"01","00301","26620","AL","Huntsville, AL (Metro)","Huntsville (North) & Madison (East) Cities",124425.297,1 
"01","00302","26620","AL","Huntsville, AL (Metro)","Huntsville City (Central & South)",106218.3,1 
"01","00400","22840","AL","Fort Payne, AL (Micro)","DeKalb & Jackson Counties",71065,0.574 
"01","00400","42460","AL","Scottsboro, AL (Micro)","DeKalb & Jackson Counties",52665,0.426 
"01","00500","10700","AL","Albertville, AL (Micro)","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",94636,0.781 
"01","00500","26620","AL","Huntsville, AL (Metro)","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",26497.554,0.219 
"01","00600","19460","AL","Decatur, AL (Metro)","Morgan & Lawrence Counties--Decatur City",153084,1 
"01","00700"," ","AL"," ","Cullman & Winston Counties",24150,0.229 
"01","00700","18980","AL","Cullman, AL (Micro)","Cullman & Winston Counties",81289,0.771 
"01","00800","13820","AL","Birmingham-Hoover, AL (Metro)","St. Clair & Blount Counties",144416,1 
"01","00900","23460","AL","Gadsden, AL (Metro)","Etowah County",103531,1 
"01","01000"," ","AL"," ","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",77208,0.487 
"01","01000","45180","AL","Talladega-Sylacauga, AL (Micro)","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",81322,0.513 
"01","01100","11500","AL","Anniston-Oxford-Jacksonville, AL (Metro)","Calhoun County",115916,1 
"01","01200","13820","AL","Birmingham-Hoover, AL (Metro)","Shelby County",206655,1 
"01","01301","13820","AL","Birmingham-Hoover, AL (Metro)","Birmingham City (West)",101189.341,1 
"01","01302","13820","AL","Birmingham-Hoover, AL (Metro)","Birmingham City (East)",102458.811,1 
"01","01303","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170746.288,1 
"01","01304","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",175290.289,1 
"01","01305","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",111108.271,1 
"01","01400"," ","AL"," ","Walker, Marion (South & West), Fayette & Lamar Counties",53505.875,0.45 
"01","01400","13820","AL","Birmingham-Hoover, AL (Metro)","Walker, Marion (South & West), Fayette & Lamar Counties",65471,0.55 
"01","01500","46220","AL","Tuscaloosa, AL (Metro)","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",107653.692,1 
"01","01600","46220","AL","Tuscaloosa, AL (Metro)","Tuscaloosa & Northport (Southeast) Cities",114923.308,1 
"01","01700"," ","AL"," ","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",51655,0.394 
"01","01700","13820","AL","Birmingham-Hoover, AL (Metro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22506,0.172 
"01","01700","42820","AL","Selma, AL (Micro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",41711,0.318 
"01","01700","46220","AL","Tuscaloosa, AL (Metro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",15184,0.116 
"01","01800","10760","AL","Alexander City, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",41165,0.317 
"01","01800","13820","AL","Birmingham-Hoover, AL (Metro)","Chilton, Tallapoosa, Chambers & Coosa Counties",43931,0.338 
"01","01800","45180","AL","Talladega-Sylacauga, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",10886,0.084 
"01","01800","46740","AL","Valley, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",34076,0.262 
"01","01900","12220","AL","Auburn-Opelika, AL (Metro)","Lee County--Auburn City",154255,1 
"01","02000","33860","AL","Montgomery, AL (Metro)","Montgomery City & Pike Road Town (North)",193814.298,1 
"01","02100","33860","AL","Montgomery, AL (Metro)","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",179326.702,1 
"01","02200"," ","AL"," ","Southwest Alabama",100817,0.728 
"01","02200","12120","AL","Atmore, AL (Micro)","Southwest Alabama",37733,0.272 
"01","02300"," ","AL"," ","Coffee, Covington, Butler & Crenshaw Counties",72187,0.586 
"01","02300","21460","AL","Enterprise, AL (Micro)","Coffee, Covington, Butler & Crenshaw Counties",50909,0.414 
"01","02400"," ","AL"," ","Russell, Pike, Barbour, Macon & Bullock Counties",30189,0.201 
"01","02400","17980","AL","Columbus, GA-AL (Metro)","Russell, Pike, Barbour, Macon & Bullock Counties",59608,0.397 
"01","02400","21640","AL","Eufaula, AL-GA (Micro)","Russell, Pike, Barbour, Macon & Bullock Counties",26887,0.179 
"01","02400","45980","AL","Troy, AL (Micro)","Russell, Pike, Barbour, Macon & Bullock Counties",33389,0.222 
"01","02500","20020","AL","Dothan, AL (Metro)","Houston, Dale, Geneva & Henry Counties--Dothan City",148095,0.75 
"01","02500","37120","AL","Ozark, AL (Micro)","Houston, Dale, Geneva & Henry Counties--Dothan City",49484,0.25 
