"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"01","00100"," ","AL"," ","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",39558,0.212 
"01","00100","22520","AL","Florence-Muscle Shoals, AL (Metro)","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",147137,0.788 
"01","00200","26620","AL","Huntsville, AL (Metro)","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",171821,1 
"01","00301","26620","AL","Huntsville, AL (Metro)","Huntsville (North) & Madison (East) Cities",118924,1 
"01","00302","26620","AL","Huntsville, AL (Metro)","Huntsville City (Central & South)",101522,1 
"01","00400","22840","AL","Fort Payne, AL (Micro)","DeKalb & Jackson Counties",71109,0.572 
"01","00400","42460","AL","Scottsboro, AL (Micro)","DeKalb & Jackson Counties",53227,0.428 
"01","00500","10700","AL","Albertville, AL (Micro)","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",93019,0.786 
"01","00500","26620","AL","Huntsville, AL (Metro)","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",25326,0.214 
"01","00600","19460","AL","Decatur, AL (Metro)","Morgan & Lawrence Counties--Decatur City",153829,1 
"01","00700"," ","AL"," ","Cullman & Winston Counties",24484,0.233 
"01","00700","18980","AL","Cullman, AL (Micro)","Cullman & Winston Counties",80406,0.767 
"01","00800","13820","AL","Birmingham-Hoover, AL (Metro)","St. Clair & Blount Counties",140915,1 
"01","00900","23460","AL","Gadsden, AL (Metro)","Etowah County",104430,1 
"01","01000"," ","AL"," ","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",77806,0.486 
"01","01000","45180","AL","Talladega-Sylacauga, AL (Micro)","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",82291,0.514 
"01","01100","11500","AL","Anniston-Oxford-Jacksonville, AL (Metro)","Calhoun County",118572,1 
"01","01200","13820","AL","Birmingham-Hoover, AL (Metro)","Shelby County",195085,1 
"01","01301","13820","AL","Birmingham-Hoover, AL (Metro)","Birmingham City (West)",100833,1 
"01","01302","13820","AL","Birmingham-Hoover, AL (Metro)","Birmingham City (East)",102098,1 
"01","01303","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170145,1 
"01","01304","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174673,1 
"01","01305","13820","AL","Birmingham-Hoover, AL (Metro)","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110717,1 
"01","01400"," ","AL"," ","Walker, Marion (South & West), Fayette & Lamar Counties",54727,0.45 
"01","01400","13820","AL","Birmingham-Hoover, AL (Metro)","Walker, Marion (South & West), Fayette & Lamar Counties",67023,0.55 
"01","01500","46220","AL","Tuscaloosa, AL (Metro)","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",103773,1 
"01","01600","46220","AL","Tuscaloosa, AL (Metro)","Tuscaloosa & Northport (Southeast) Cities",110629,1 
"01","01700"," ","AL"," ","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",54426,0.397 
"01","01700","13820","AL","Birmingham-Hoover, AL (Metro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22915,0.167 
"01","01700","42820","AL","Selma, AL (Micro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",43820,0.32 
"01","01700","46220","AL","Tuscaloosa, AL (Metro)","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",15760,0.115 
"01","01800","10760","AL","Alexander City, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",41616,0.318 
"01","01800","13820","AL","Birmingham-Hoover, AL (Metro)","Chilton, Tallapoosa, Chambers & Coosa Counties",43643,0.333 
"01","01800","45180","AL","Talladega-Sylacauga, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",11539,0.088 
"01","01800","46740","AL","Valley, AL (Micro)","Chilton, Tallapoosa, Chambers & Coosa Counties",34215,0.261 
"01","01900","12220","AL","Auburn-Opelika, AL (Metro)","Lee County--Auburn City",140247,1 
"01","02000","33860","AL","Montgomery, AL (Metro)","Montgomery City & Pike Road Town (North)",196534,1 
"01","02100","33860","AL","Montgomery, AL (Metro)","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",178002,1 
"01","02200"," ","AL"," ","Southwest Alabama",105239,0.733 
"01","02200","12120","AL","Atmore, AL (Micro)","Southwest Alabama",38319,0.267 
"01","02300"," ","AL"," ","Coffee, Covington, Butler & Crenshaw Counties",72618,0.592 
"01","02300","21460","AL","Enterprise, AL (Micro)","Coffee, Covington, Butler & Crenshaw Counties",49948,0.408 
"01","02400"," ","AL"," ","Russell, Pike, Barbour, Macon & Bullock Counties",32366,0.222 
