"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","00101","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North)--Berkeley & Albany Cities",131119,1 
"06","00102","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",158091,1 
"06","00103","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",125229,1 
"06","00104","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North Central)--Oakland City (South Central)",124608,1 
"06","00105","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",163534,1 
"06","00106","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",134752,1 
"06","00107","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Central)--Hayward City",145655,1 
"06","00108","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",135402,1 
"06","00109","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (South Central)--Fremont City (East)",189764,1 
"06","00110","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Alameda County (East)--Livermore, Pleasanton & Dublin Cities",202117,1 
"06","00300"," ","CA"," ","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",135843,0.71 
"06","00300","43760","CA","Sonora, CA (Micro)","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",55365,0.29 
"06","00701","17020","CA","Chico, CA (Metro)","Butte County (Northwest)--Chico City",111389,1 
"06","00702","17020","CA","Chico, CA (Metro)","Butte County (Southeast)--Oroville City & Paradise Town",108611,1 
"06","01100"," ","CA"," ","Colusa, Glenn, Tehama & Trinity Counties",63327,0.499 
"06","01100","39780","CA","Red Bluff, CA (Micro)","Colusa, Glenn, Tehama & Trinity Counties",63463,0.501 
"06","01301","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",114777,1 
"06","01302","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites",118671,1 
"06","01303","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",129625,1 
"06","01304","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",117784,1 
"06","01305","41860","CA","San Francisco-Oakland-Hayward, CA (Metro)","Contra Costa County (South)--San Ramon City & Danville Town",124585,1 
