GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
3100000US10020,10020,"Abbeville, LA Micro Area",14495,1289,29750,3355,50572,4485,77746,5911,133289,16191
3100000US10100,10100,"Aberdeen, SD Micro Area",18962,1683,33460,2806,52540,1822,77058,3359,125859,7496
3100000US10140,10140,"Aberdeen, WA Micro Area",16880,1421,32490,2069,49546,1605,74800,2636,120183,8823
3100000US10180,10180,"Abilene, TX Metro Area",18162,844,31691,1149,48158,1719,73534,2633,127455,6099
3100000US10220,10220,"Ada, OK Micro Area",13207,2009,25703,1430,42492,2004,70320,5148,128746,22355
3100000US10300,10300,"Adrian, MI Micro Area",23924,1308,39594,1503,60433,1075,87834,1848,136418,9718
3100000US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",3896,248,9224,461,16287,683,31368,1034,60206,3473
3100000US10420,10420,"Akron, OH Metro Area",20580,475,37914,689,59256,1056,90351,1192,159618,3456
3100000US10460,10460,"Alamogordo, NM Micro Area",17437,1831,30360,2142,45573,2331,68423,2452,109741,12640
3100000US10500,10500,"Albany, GA Metro Area",14906,815,30125,1463,48258,1747,77468,2242,141862,5258
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",18305,1623,34622,1726,52260,1805,79543,2819,125287,11650
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",23965,567,43533,515,67804,988,100681,882,164372,2933
3100000US10620,10620,"Albemarle, NC Micro Area",16658,1520,32890,2582,49171,3164,73621,4545,116523,7177
3100000US10660,10660,"Albert Lea, MN Micro Area",21036,1011,34098,2481,51336,1925,72519,2596,125408,9514
3100000US10700,10700,"Albertville, AL Micro Area",14226,1215,27824,1840,44848,2356,72594,3089,131885,10338
3100000US10740,10740,"Albuquerque, NM Metro Area",19935,647,36468,619,56980,1032,88390,1098,154471,2939
3100000US10760,10760,"Alexander City, AL Micro Area",13563,1184,26544,2346,43472,3239,72091,4231,129230,18073
3100000US10780,10780,"Alexandria, LA Metro Area",14683,604,29383,1556,46621,1879,76912,2005,138749,4338
3100000US10820,10820,"Alexandria, MN Micro Area",17907,2308,33288,1833,52363,2577,78557,3318,143706,14726
3100000US10860,10860,"Alice, TX Micro Area",12167,2312,25006,3317,40976,5943,68656,7363,118123,13537
3100000US10880,10880,"Allegan, MI Micro Area",23165,1183,41825,1263,60044,1966,86744,3354,135150,5761
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",24295,449,43598,647,66011,854,100358,1166,171071,4024
3100000US10940,10940,"Alma, MI Micro Area",18755,1916,32916,1167,51355,2333,75352,3321,118707,11439
3100000US10980,10980,"Alpena, MI Micro Area",15269,771,28678,2272,44803,3606,69217,2841,117065,5897
3100000US11020,11020,"Altoona, PA Metro Area",17367,655,31372,1241,49283,1426,73667,2726,115121,6920
3100000US11060,11060,"Altus, OK Micro Area",14825,1908,30503,2852,48493,4403,73579,3639,119284,8417
3100000US11100,11100,"Amarillo, TX Metro Area",18245,863,32698,980,52339,1405,84398,1915,142254,4418
3100000US11140,11140,"Americus, GA Micro Area",13347,2846,26321,1885,39927,4328,65711,4548,119549,10453
3100000US11180,11180,"Ames, IA Metro Area",18966,1658,35751,1774,58536,3193,89970,2581,157404,11593
3100000US11220,11220,"Amsterdam, NY Micro Area",18415,1068,34055,1646,52376,2388,77966,2918,121441,4141
3100000US11260,11260,"Anchorage, AK Metro Area",29874,1253,53703,1135,79139,1571,116717,2668,191215,4965
3100000US11300,11300,"Anderson, IN Metro Area",19463,1044,35079,1297,52183,1861,78856,3160,121040,4554
3100000US11340,11340,"Anderson, SC Metro Area",17216,889,31694,1393,50958,2098,78768,2489,129087,9132
3100000US11420,11420,"Angola, IN Micro Area",21235,3803,35818,3274,54876,2712,82576,3526,130161,13245
3100000US11460,11460,"Ann Arbor, MI Metro Area",22596,1063,46374,1337,73868,1544,116797,3037,206992,7145
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",14675,1107,29283,1304,47958,2224,75551,4453,126739,7435
3100000US11540,11540,"Appleton, WI Metro Area",26049,979,46151,1111,66877,1431,93204,1634,142810,5726
3100000US11580,11580,"Arcadia, FL Micro Area",17678,3446,31902,4743,44362,4226,70136,9874,116020,13871
3100000US11620,11620,"Ardmore, OK Micro Area",15913,1556,29281,1614,43950,3612,68656,3591,115026,8403
3100000US11660,11660,"Arkadelphia, AR Micro Area",11033,3451,25515,4267,38208,4198,67121,11925,110304,18808
3100000US11700,11700,"Asheville, NC Metro Area",18951,732,33672,1038,52453,1277,79935,1643,142867,5187
3100000US11740,11740,"Ashland, OH Micro Area",20098,1752,35869,3059,55984,1707,78771,3626,120184,11130
3100000US11780,11780,"Ashtabula, OH Micro Area",17257,1952,31520,2081,47456,2236,73156,2741,118896,4681
3100000US11820,11820,"Astoria, OR Micro Area",17048,2121,31608,2160,48466,3874,73743,3593,127287,15711
3100000US11900,11900,"Athens, OH Micro Area",11835,1052,21414,2322,41908,2387,66232,3603,115303,10167
3100000US11940,11940,"Athens, TN Micro Area",13214,627,27017,1908,43475,3487,69228,4219,117529,10162
3100000US11980,11980,"Athens, TX Micro Area",15140,1071,29239,1347,44913,3283,70642,3477,123640,5571
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",14733,808,29729,1645,50613,1634,81376,2448,150155,12086
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",26230,305,46036,340,70333,513,107600,715,196845,2542
3100000US12100,12100,"Atlantic City, NJ Metro Area",22643,1503,42638,1953,66040,1660,99374,2415,165156,3693
3100000US12140,12140,"Auburn, IN Micro Area",22841,2163,38141,2984,56885,5477,80536,2923,128043,5868
3100000US12180,12180,"Auburn, NY Micro Area",20397,1555,37534,1500,55265,2150,81208,2659,124844,4019
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",13398,1096,28217,1289,50592,1798,81786,3715,135064,5762
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",16933,974,33758,859,53658,1439,85905,1756,147597,4895
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",20363,1104,36043,1325,55186,1815,82221,1728,137290,9055
3100000US12380,12380,"Austin, MN Micro Area",20106,1367,35238,2496,54216,2183,82790,6135,137434,6123
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",24641,619,43470,549,68200,831,106503,915,195168,3919
3100000US12460,12460,"Bainbridge, GA Micro Area",12949,3153,24842,2221,42752,8062,69439,6721,112543,12308
3100000US12540,12540,"Bakersfield, CA Metro Area",19063,785,35599,825,55432,1215,88652,2014,155413,4746
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",26439,413,50243,417,77175,545,117713,757,202946,1825
3100000US12620,12620,"Bangor, ME Metro Area",17387,955,31691,1472,49607,1477,77745,1945,134566,9110
3100000US12660,12660,"Baraboo, WI Micro Area",24262,1558,40272,2190,56198,2035,82771,2880,134056,6269
3100000US12700,12700,"Barnstable Town, MA Metro Area",27002,1499,47661,1499,71093,2061,104368,2949,181829,4997
3100000US12740,12740,"Barre, VT Micro Area",22277,2280,41764,2539,61771,2324,94745,4034,142555,5955
3100000US12780,12780,"Bartlesville, OK Micro Area",17773,1572,32002,3022,52709,2724,84528,5449,145379,16017
3100000US12820,12820,"Bastrop, LA Micro Area",9738,1850,21456,2670,38768,5230,61295,4907,103843,21511
3100000US12860,12860,"Batavia, NY Micro Area",20404,1549,36908,1985,53998,1974,75788,3278,126284,10316
3100000US12900,12900,"Batesville, AR Micro Area",16450,1789,27535,1837,40943,2627,67343,4574,104453,8734
3100000US12940,12940,"Baton Rouge, LA Metro Area",17305,686,34476,923,56168,1151,89797,1251,154244,4134
3100000US12980,12980,"Battle Creek, MI Metro Area",17130,896,32570,1426,52506,1609,81482,2616,131791,5391
3100000US13020,13020,"Bay City, MI Metro Area",19541,1138,35319,1343,53230,1421,79970,2317,131555,4851
3100000US13060,13060,"Bay City, TX Micro Area",13988,3270,28695,3466,51398,5758,82916,7322,131462,9619
3100000US13100,13100,"Beatrice, NE Micro Area",18444,2715,33067,2684,50833,1882,73648,3986,115096,10404
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",16472,870,32307,862,52804,1254,84324,2087,140261,5483
3100000US13180,13180,"Beaver Dam, WI Micro Area",25012,1524,42710,1559,61445,1675,85008,1806,128762,3386
3100000US13220,13220,"Beckley, WV Micro Area",14323,1102,27319,2810,46058,2775,70846,3148,117396,5675
3100000US13260,13260,"Bedford, IN Micro Area",16835,2485,33446,2152,47954,2817,75320,3684,120154,11554
3100000US13300,13300,"Beeville, TX Micro Area",11822,4443,25007,4185,39595,4404,64307,10112,119355,14581
3100000US13340,13340,"Bellefontaine, OH Micro Area",21185,1623,36828,3998,55388,1650,80777,4925,134290,3582
3100000US13380,13380,"Bellingham, WA Metro Area",19629,1192,37006,1552,57513,2655,87739,2129,145317,5433
3100000US13420,13420,"Bemidji, MN Micro Area",16867,1672,33143,2772,52931,2934,79960,3756,133586,15319
3100000US13460,13460,"Bend, OR Metro Area",25901,1610,44890,1489,63429,2292,91406,3730,153358,11166
3100000US13500,13500,"Bennettsville, SC Micro Area",11036,1507,18975,2104,31370,3876,55211,7711,86848,12211
3100000US13540,13540,"Bennington, VT Micro Area",22895,2310,38043,2459,59391,3116,93161,6328,160264,12060
3100000US13620,13620,"Berlin, NH-VT Micro Area",17607,2084,32698,1733,50283,1972,74401,4756,112145,8057
3100000US13660,13660,"Big Rapids, MI Micro Area",14932,1041,29351,2426,46155,3541,70637,3154,115327,12453
3100000US13700,13700,"Big Spring, TX Micro Area",13883,2917,26607,3167,45066,4521,72917,2825,114254,15513
3100000US13740,13740,"Billings, MT Metro Area",19670,1005,36187,1443,54894,1471,82469,1633,141314,8268
3100000US13780,13780,"Binghamton, NY Metro Area",17807,1062,33708,1082,53561,1311,82224,1989,135930,4309
3100000US13820,13820,"Birmingham-Hoover, AL Metro Area",18887,468,36515,564,57589,860,91974,1364,166430,3473
3100000US13900,13900,"Bismarck, ND Metro Area",21527,1216,38681,1208,58577,1822,85834,3122,135306,5321
3100000US13940,13940,"Blackfoot, ID Micro Area",20761,2748,35246,3391,51423,2084,75657,3727,125203,6099
3100000US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",14666,1199,29627,1154,48840,2501,76899,2695,130068,6234
3100000US14020,14020,"Bloomington, IN Metro Area",14352,998,30115,1667,50266,2377,78695,1912,131280,7874
3100000US14060,14060,"Bloomington-Normal, IL Metro Area",22774,1144,41734,1487,66564,1380,100945,2555,162866,6090
3100000US14100,14100,"Bloomsburg-Berwick, PA Micro Area",17056,1292,32179,1546,49747,2107,76739,2291,127512,5925
3100000US14140,14140,"Bluefield, WV-VA Micro Area",12366,879,23840,1498,38185,1705,62630,2227,112050,7680
3100000US14180,14180,"Blytheville, AR Micro Area",12549,1009,24732,2104,38725,2879,60861,4832,108356,11764
3100000US14220,14220,"Bogalusa, LA Micro Area",12573,1851,23438,2372,39160,2683,64850,5798,115303,10160
3100000US14260,14260,"Boise City-Nampa, ID Metro Area",24041,617,40747,812,60428,1156,88936,1771,155016,3067
3100000US14300,14300,"Bonham, TX Micro Area",20056,2186,32043,4573,53698,4405,77634,5229,117761,12083
3100000US14340,14340,"Boone, IA Micro Area",24217,2322,40194,2163,57030,6589,83751,3896,135229,9950
