GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
0400000US01,01,Alabama,17939,359,35584,425,58195,850,95265,911,172626,3139
0400000US02,02,Alaska,35055,1965,61912,1793,92780,2285,137059,3545,219417,10297
0400000US04,04,Arizona,22866,403,42390,390,66796,586,105841,929,196476,3683
0400000US05,05,Arkansas,18502,514,34969,709,55090,700,89810,1381,160150,4058
0400000US06,06,California,26697,183,52331,208,85740,375,140784,465,,
0400000US08,08,Colorado,28538,507,52098,458,81014,593,125901,1105,229888,3401
0400000US09,09,Connecticut,29917,766,56803,903,92131,1060,146556,1434,,
0400000US10,10,Delaware,27127,1422,49084,1729,76420,2148,116597,3622,206172,5475
0400000US11,11,District of Columbia,20813,1543,55236,3374,100336,2633,170657,4812,,
0400000US12,12,Florida,22050,169,40402,204,62941,441,101629,465,196596,2124
0400000US13,13,Georgia,22038,318,42125,340,67479,616,107114,828,203241,2530
0400000US15,15,Hawaii,31725,1169,60409,1025,91662,1172,140573,1917,247602,9414
0400000US16,16,Idaho,22477,869,41452,824,63362,1364,98147,2460,166463,6146
0400000US17,17,Illinois,24272,334,47327,394,76821,502,121565,585,226389,2443
0400000US18,18,Indiana,22874,343,41689,330,64770,565,100125,736,174088,2782
0400000US19,19,Iowa,24915,456,45142,637,69629,984,105124,1273,181737,3883
0400000US20,20,Kansas,24268,512,43112,832,67472,966,105479,1336,187019,4988
0400000US21,21,Kentucky,18305,426,36209,510,59080,916,94787,1231,169407,3684
0400000US22,22,Louisiana,17329,385,34662,809,57600,914,97909,1503,180475,3068
0400000US23,23,Maine,22161,673,41773,892,66492,1034,102053,1578,181791,4357
0400000US24,24,Maryland,32691,672,61983,611,97193,851,150178,1245,,
0400000US25,25,Massachusetts,28024,700,57438,786,95015,800,149866,1397,,
0400000US26,26,Michigan,22047,215,41650,307,65856,440,104732,695,189161,2309
0400000US27,27,Minnesota,28467,558,51947,435,80924,536,123674,1201,217260,2920
0400000US28,28,Mississippi,16071,383,32217,526,53335,1054,87858,1467,157039,3311
0400000US29,29,Missouri,22321,321,41154,379,64231,631,101019,631,181434,2501
0400000US30,30,Montana,21923,725,40217,707,62217,1321,97798,2048,180461,5635
0400000US31,31,Nebraska,25209,559,45064,755,70354,897,107587,1566,185597,5419
0400000US32,32,Nevada,24296,783,43352,966,67779,1198,104701,1815,186593,6466
0400000US33,33,New Hampshire,31608,738,57446,1465,85614,1784,131217,2092,225988,6002
0400000US34,34,New Jersey,29167,557,58784,674,96144,928,154189,1324,,
0400000US35,35,New Mexico,18507,620,36257,798,59072,1567,95222,1835,176605,5260
0400000US36,36,New York,23187,310,48100,521,80699,409,132453,858,,
0400000US37,37,North Carolina,21208,271,40144,300,62826,599,100454,603,188222,2925
0400000US38,38,North Dakota,25723,980,48826,1383,74505,1822,111574,1806,197384,11175
0400000US39,39,Ohio,21720,204,41522,251,65239,393,102653,760,183820,2311
0400000US40,40,Oklahoma,20560,334,38496,529,61486,474,97208,859,173963,3582
0400000US41,41,Oregon,24752,543,45894,665,71339,804,111678,938,201985,1805
0400000US42,42,Pennsylvania,23654,279,44985,372,71198,401,112653,675,204435,2030
0400000US44,44,Rhode Island,22324,957,45320,1789,75852,2273,118799,2984,204690,10293
0400000US45,45,South Carolina,20742,413,39039,638,61417,532,98345,1057,176700,3235
0400000US46,46,South Dakota,24287,1113,43697,1265,66958,1421,99533,2069,172033,8252
0400000US47,47,Tennessee,20778,297,38490,531,60575,560,96523,816,179223,2980
0400000US48,48,Texas,23982,240,44811,368,71305,296,115799,611,217380,2007
0400000US49,49,Utah,31521,645,54162,959,79286,1377,118188,1929,201744,3170
0400000US50,50,Vermont,23792,1193,45241,1678,71471,1976,109831,2689,195113,9790
0400000US51,51,Virginia,28532,601,53162,733,85471,567,136562,959,,
0400000US53,53,Washington,29408,591,53385,694,82667,815,128652,1276,234405,5086
0400000US54,54,West Virginia,17867,597,33995,889,55272,869,89264,1680,155491,5796
0400000US55,55,Wisconsin,24985,359,45555,417,70481,531,106363,664,184153,2217
0400000US56,56,Wyoming,25342,992,45957,1596,72797,1955,110526,3843,181856,6736
0400000US72,72,Puerto Rico,6687,171,15013,294,26297,422,46134,979,91989,2326
