GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Quintile Upper Limits: - Lowest Quintile,Margin of Error; Quintile Upper Limits: - Lowest Quintile,Estimate; Quintile Upper Limits: - Second Quintile,Margin of Error; Quintile Upper Limits: - Second Quintile,Estimate; Quintile Upper Limits: - Third Quintile,Margin of Error; Quintile Upper Limits: - Third Quintile,Estimate; Quintile Upper Limits: - Fourth Quintile,Margin of Error; Quintile Upper Limits: - Fourth Quintile,Estimate; Lower Limit of Top 5 Percent,Margin of Error; Lower Limit of Top 5 Percent
310M300US11260,11260,"Anchorage, AK Metro Area",,,,,,,,,"$250,000+",$***
310M300US11460,11460,"Ann Arbor, MI Metro Area",,,,,,,,,"$250,000+",$***
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",,,,,,,,,"$250,000+",$***
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",,,,,,,,,"$250,000+",$***
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",,,,,,,,,"$250,000+",$***
310M300US14500,14500,"Boulder, CO Metro Area",,,,,,,,,"$250,000+",$***
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",,,,,,,,,"$250,000+",$***
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",,,,,,,,,"$250,000+",$***
310M300US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",,,,,,,,,"$250,000+",$***
310M300US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",,,,,,,,,"$250,000+",$***
310M300US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",,,,,,,,,"$250,000+",$***
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US33260,33260,"Midland, TX Metro Area",,,,,,,,,"$250,000+",$***
310M300US34900,34900,"Napa, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",,,,,,,,,"$250,000+",$***
310M300US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,,,,,,,,"$250,000+",$***
310M300US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US41740,41740,"San Diego-Carlsbad, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",,,,,,,,,"$250,000+",$***
310M300US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,"$250,000+",$***
310M300US45940,45940,"Trenton, NJ Metro Area",,,,,,,,,"$250,000+",$***
310M300US46520,46520,"Urban Honolulu, HI Metro Area",,,,,,,,,"$250,000+",$***
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",,,,,,,,,"$250,000+",$***
